Date,Open,High,Low,Close
10/04/2024,"8,282.52","8,300.66","8,234.17","8,280.63"
10/03/2024,"8,290.86","8,332.68","8,261.96","8,282.52"
10/02/2024,"8,276.65","8,322.59","8,267.60","8,290.86"
10/01/2024,"8,236.95","8,291.10","8,226.18","8,276.65"
09/30/2024,"8,320.76","8,324.61","8,233.99","8,236.95"
09/27/2024,"8,284.91","8,334.55","8,283.52","8,320.76"
09/26/2024,"8,268.70","8,332.87","8,262.03","8,284.91"
09/25/2024,"8,282.76","8,319.41","8,242.99","8,268.70"
09/24/2024,"8,259.71","8,309.75","8,259.51","8,282.76"
09/23/2024,"8,229.99","8,262.53","8,210.07","8,259.71"
09/20/2024,"8,328.72","8,328.72","8,223.76","8,229.99"
09/19/2024,"8,253.68","8,370.47","8,253.68","8,328.72"
09/18/2024,"8,309.86","8,309.95","8,245.70","8,253.68"
09/17/2024,"8,278.44","8,351.72","8,278.44","8,309.86"
09/16/2024,"8,273.09","8,290.00","8,247.92","8,278.44"
09/13/2024,"8,240.97","8,287.90","8,230.75","8,273.09"
09/12/2024,"8,193.94","8,301.36","8,193.94","8,240.97"
09/11/2024,"8,205.98","8,232.76","8,169.96","8,193.94"
09/10/2024,"8,270.84","8,271.12","8,195.13","8,205.98"
09/09/2024,"8,181.47","8,274.68","8,181.47","8,270.84"
09/06/2024,"8,241.71","8,260.68","8,168.42","8,181.47"
09/05/2024,"8,269.60","8,285.55","8,241.71","8,241.71"
09/04/2024,"8,298.46","8,298.46","8,219.26","8,269.60"
09/03/2024,"8,363.84","8,380.98","8,286.60","8,298.46"
09/02/2024,"8,376.63","8,380.08","8,353.18","8,363.84"
08/30/2024,"8,379.64","8,414.37","8,363.74","8,376.63"
08/29/2024,"8,343.85","8,392.40","8,336.58","8,379.64"
08/28/2024,"8,345.46","8,362.74","8,322.28","8,343.85"
08/27/2024,"8,327.78","8,400.43","8,327.78","8,345.46"
08/23/2024,"8,288.00","8,331.90","8,288.00","8,327.78"
08/22/2024,"8,283.43","8,318.55","8,276.99","8,288.00"
08/21/2024,"8,273.32","8,295.94","8,263.01","8,283.43"
08/20/2024,"8,356.94","8,356.94","8,270.69","8,273.32"
08/19/2024,"8,311.41","8,374.02","8,286.50","8,356.94"
08/16/2024,"8,347.35","8,350.35","8,292.01","8,311.41"
08/15/2024,"8,281.05","8,366.98","8,277.08","8,347.35"
08/14/2024,"8,235.23","8,288.72","8,230.68","8,281.05"
08/13/2024,"8,210.25","8,244.41","8,187.98","8,235.23"
08/12/2024,"8,168.10","8,223.48","8,168.10","8,210.25"
08/09/2024,"8,144.97","8,203.46","8,144.43","8,168.10"
08/08/2024,"8,166.88","8,166.88","8,064.34","8,144.97"
08/07/2024,"8,026.69","8,176.99","8,026.69","8,166.88"
08/06/2024,"8,008.23","8,058.31","7,949.85","8,026.69"
08/05/2024,"8,174.71","8,174.71","7,915.94","8,008.23"
08/02/2024,"8,283.36","8,283.36","8,158.03","8,174.71"
08/01/2024,"8,367.98","8,405.24","8,268.14","8,283.36"
07/31/2024,"8,274.41","8,399.88","8,274.41","8,367.98"
